diseaseLabel,disease,symptomsLabel,symptoms,symptomLabel_NCI,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
acroparesthesia,Q420915, , ,, , , , , , , , , , , , ,C1332141, ,C35810, ,disease symptom in neurology,"acroparesthesia syndrome,obsolete acroparesthesia syndrome"
acute midbrain syndrome,Q424302, , ,, , , , , , , , , , , , , , , , , , 
acute abdomen,Q424317, , ,, , , , , , , , , , , , , ,D000006, ,https://en.wikipedia.org/wiki/Acute_abdomen,medical condition,acute abdominal pain
milk-alkali syndrome,Q441094, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Milk-alkali_syndrome,disease caused by very high levels of calcium and alkali,calcium-alkali syndrome
aluminosis,Q447828, , ,, , , , , , , , , , , , ,C0311227, , ,https://en.wikipedia.org/wiki/Aluminosis,lung disease,"aluminosis,aluminosis of lung,pulmonary aluminosis"
alveolitis,Q448747, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Alveolitis,lung disease, 
decompression sickness,Q460591,"amnesia,arthralgia,convulsion,deafness,dizziness,dyspnea,fatigue,formication,godet sign,headache,hyperesthesia,impairment of continence,itch,mental confusion,mood swing,nausea,pain,paralysis,paresthesia,unconsciousness,vertigo,visual disturbance,vomiting","Q10686316,Q107231,Q10916362,Q11072,Q12133,Q127076,Q12829165,Q1638131,Q186889,Q188008,Q199602,Q2266426,Q3232712,Q3954319,Q5470185,Q557945,Q683498,Q769220,Q7933601,Q81938,Q852376,Q86,Q9690",, , ,air embolism,Q1367304, , ,decompression,Q1183684, , , , , ,D003665, ,https://en.wikipedia.org/wiki/Decompression_sickness,condition arising on depressurisation of the body,"DCS,aerobullosis,aeroembolism,barotrauma,caisson disease,divers' disease,the bends"
amentia,Q462833,"amnesia,delusion,disorientation,hallucination,perplexity","Q11072,Q130741,Q1895873,Q189643,Q58184039",, , , , , , , , , , , , , , , , ,"state of acute hallucinatory confusion, characterised by disordered level of consciousness","amentia syndrome,syndrome of amentia"
health effects of tobacco,Q465016, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Health_effects_of_tobacco,"circumstances, mechanisms, and factors of tobacco consumption on human health", 
hirsuties coronae glandis,Q467056, , ,, , ,angiokeratoma of Fordyce,Q1437103, , , , , , , , ,"C0269017,CL474385", , ,https://en.wikipedia.org/wiki/Pearly_penile_papules,small protuberance that may form on the ridge of the glans of the human penis,"PPP,hirsutoid papilloma,pearly penile papule"
Amino acid transport disorder,Q471778, , ,, , , , , , , , , , ,270.0,E72.0,C0268641,D020157, ,https://en.wikipedia.org/wiki/Amino_acid_transport_disorder,Human disease,"Disorder of amino acid absorption and transport,Disturbances of amino-acid transport,amino acid transport disease,disorder of amino acid transport,inborn amino acid transport disorder,obsolete amino acid transport disease,obsolete inborn amino acid transport disorder"
cretinism,Q472664, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Congenital_iodine_deficiency_syndrome,human medical condition, 
gestosis,Q476814, , ,, , , , , , , , , , , , ,"C0032914,C1321782", , , , , 
kyphosis,Q478389, , ,, , , , , , , , , , , , ,"C0022821,C1845112",D007738,C34754,https://en.wikipedia.org/wiki/Kyphosis,abnormal convex curvature of the spine,"Kyphosis deformity of spine,obsolete kyphosis"
anasarka,Q486485, , ,,"Loteprednol etabonate,amiloride,bendroflumethiazide,benzthiazide,bumetanide,captopril,chlorothiazide,chlorthalidone,cyclothiazide,danazol,enalapril,ethacrynate sodium,ethacrynic acid,furosemide,hydrochlorothiazide,hydroflumethiazide,icodextrin,indapamide,methyclothiazide,metolazone,polythiazide,prednisolone,quinethazone,spironolactone,torasemide,triamterene,trichlormethiazide","Q1078392,Q11426176,Q1169164,Q1169561,Q2072745,Q221520,Q2603363,Q27281933,Q275926,Q2889971,Q3791957,Q3837481,Q388801,Q418571,Q419652,Q419948,Q419995,Q421119,Q422185,Q422188,Q423930,Q425289,Q5199066,Q5986553,Q6823919,Q7227099,Q7272222", , , , , , , , , , , , ,C98811,https://en.wikipedia.org/wiki/Anasarca,medical condition characterized by widespread swelling, 
anastomotic leak,Q487231, , ,, , , , , , , , , , , , , ,D057868, , ,"breakdown of the connection and subsequent leakage of effluent (fluids, secretions, air) from a surgical anastomosis of the digestive, respiratory, genitourinary, and cardiovascular systems", 
Todd's paresis,Q495068, , ,, , , , , , , , , , ,344.89, ,C0234544, , ,https://en.wikipedia.org/wiki/Todd%27s_paresis,medical condition, 
Hibernoma,Q499857, , ,"Benign Cellular Infiltrate,Indolent Clinical Course,Localized Disease,Well-Circumscribed Lesion,Painless Mass", , , , , , , , , , , , ,C0205822, ,C3702,https://en.wikipedia.org/wiki/Hibernoma,"A rare benign slow growing adipose tissue tumor, characterized by the presence of polygonal brown fat cells with multivacuolated and/or granular cytoplasm.  The tumor is usually painless and is most often seen in young adults.","Brown Fat Neoplasm,Brown Fat Tumor,Fetal Fat Cell Lipoma,HIBERNOMA, BENIGN,Hibernoma,hibernoma"
gigantism,Q501829, , ,, , ,"Deep-sea gigantism,giantness","Q1148685,Q63441625", , , , , , , ,E22.0,C0017547,D005877, ,https://en.wikipedia.org/wiki/Gigantism,human disease which causes the body to grow abnormally large,"anterior pituitary hyperfunction,giantism,hypophyseal gigantism,infantile and juvenile forms of acromegaly,pituitary gigantism"
neurasthenia,Q510236, , ,, , , , , , , , , , , , , ,D009440, ,https://en.wikipedia.org/wiki/Neurasthenia,"psychopathological term to denote a condition with symptoms of fatigue, anxiety, headache, heart palpitations, high blood pressure, neuralgia, and depressed mood.",effort syndrome
psoriatic arthritis,Q511097, , ,,"Etanercept,apremilast,auranofin,aurothioglucose","Q2858961,Q4072449,Q415343,Q421230", , , , , , , , ,696.0,"L40.5,L40.50",C0003872,D015535,C61277,https://en.wikipedia.org/wiki/Psoriatic_arthritis,syndrome that occurs in humans with psoriasis who also experience symptoms similar to arthritis,"Arthritis, Psoriatic,arthritis psoriatica,arthropathic psoriasis,psoriatic arthropathy"
tetany,Q511818,tetanic contraction,Q1632123,,"Calcium Gluceptate,calcium chloride,calcium gluconate","Q208451,Q413739,Q5018826", , , , ,hypocalcaemia,Q936382, , , , ,C0039621,D013746,C114789,https://en.wikipedia.org/wiki/Tetany,medical sign consisting of the involuntary contraction of muscles, 
paraphasia,Q512942, , ,, , , , , , , , , , , , ,C0234488, , ,https://en.wikipedia.org/wiki/Paraphasia,"language output error commonly associated with aphasia, and characterized by the production of unintended syllables, words, or phrases during the effort to speak", 
Dactylitis,Q517782, , ,, , , , , , , , , , , , ,C0239161, , ,https://en.wikipedia.org/wiki/Dactylitis,inflammation of an entire digit (a finger or toe),sausage digit
hamartoma,Q525075, , ,, , , , , , , , , , ,759.6, ,C0018552,D006222, ,https://en.wikipedia.org/wiki/Hamartoma,"non-cancerous growth, made up of an abnormal mixture of cells and tissues normally found in the area of the body","Hamartoma,hamartoma (disorder),hamartoma (morphologic abnormality),hamartomatous polyp,hamartomatous polyp (morphologic abnormality)"
endothelial dysfunction,Q550061, , ,, , , , , , , , , , , , ,C0856169, , ,https://en.wikipedia.org/wiki/Endothelial_dysfunction,systemic pathological state of the endothelium, 
myelitis,Q551085,inflammation,Q101991,, , , , , , , , , , ,323.9, ,C0026975,D009187,C26832,https://en.wikipedia.org/wiki/Myelitis,spinal cord disease that is characterized by inflammation of the white matter or gray matter of the spinal cord,"spinal cord inflammation,spinal corditis"
Pena-Shokeir syndrome,Q557009, , ,, , , , , , , , , , , , ,C0265228, ,C99008, , , 
alcoholic liver disease,Q558404,"jaundice,nausea","Q133244,Q186889",, , , , , , ,alcohol consumption,Q2647488,"complete blood count,liver function tests","Q1359801,Q886518", , , ,D008108, ,https://en.wikipedia.org/wiki/Alcoholic_liver_disease,medical condition,"Liver Diseases, Alcoholic"
anoxia,Q568321, , ,, , , , , , , , , , , , , , ,C2876,https://en.wikipedia.org/wiki/Anoxemia,medical condition,"anoxaemia,anoxemia,anoxhemia"
Eisenmenger's syndrome,Q572695, , ,, , , , , , , , , , , ,I27.2,C0013743,D004541,C84390,https://en.wikipedia.org/wiki/Eisenmenger%27s_syndrome,fetal heart defect,"ES,Eisenmenger syndrome,Eisenmenger's Syndrome,Eisenmenger's reaction,tardive cyanosis"
anticholinergic toxidrome,Q574975,"blurred vision,flushing,hyperopia,hyperthermia,mydriasis,oliguria,tachycardia,xeroderma,xerostomia","Q1128283,Q1162276,Q177254,Q1929023,Q209583,Q242165,Q3443277,Q4930803,Q961326",, , , , , , ,anticholinergic,Q113259, , , , , ,D064807, , ,medical condition caused by exposure to anticholinergic agents,anticholinergic syndrome
self-defeating personality disorder,Q580754, , ,, , ,"Masochism,masochism","Q12754745,Q61777085", , , , , , , , ,C1404989, , ,https://en.wikipedia.org/wiki/Self-defeating_personality_disorder,proposed personality disorder in an earlier edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-III-R) in 1987,masochistic personality disorder
omphalitis of newborn,Q586878, , ,, , , , , , , , , , , , , , ,C116008,https://en.wikipedia.org/wiki/Omphalitis_of_newborn,inflammation of the umbilical cord stump,omphalitis
myxoma,Q589612, , ,, , , , , , , , , , , , , ,D009232, ,https://en.wikipedia.org/wiki/Myxoma,myxoid tumor of primitive connective tissue, 
Chemotherapy-induced acral erythema,Q593277, , ,, , , , , , , , , , , , ,C0549410,D060831, ,https://en.wikipedia.org/wiki/Chemotherapy-induced_acral_erythema,chemotherapy-induced dermal side effects tassociated with the use of cytostatic agents,"Hand-foot syndrome,Palmar-plantar erythrodysesthesia syndrome,hand-foot syndrome"
May–Thurner syndrome,Q605576,"abnormal skin coloration,swelling","Q109186,Q47085690",, , , , , , , , , , , , , ,D062108, ,https://en.wikipedia.org/wiki/May%E2%80%93Thurner_syndrome,a mechanical problem where the left iliac vein is compressed by the right iliac artery,"Cocketts syndrome,Iliac Vein Compression Syndrome"
photodermatitis,Q608085, , ,,"4-aminobenzoic acid,avobenzone,cinoxate,hydroxychloroquine,oxybenzone","Q2319112,Q2775914,Q284959,Q421094,Q518114", , , , , , , , ,692.72, ,"C0031762,C0162824",D017454, ,https://en.wikipedia.org/wiki/Photodermatitis,photosensitivity disorder in which an agent or allergen is activated by light to sensitize the allergic response,"Dermatitis, Photoallergic,Photoallergic contact dermatitis,Photoallergic dermatitis,Photoallergic dermatitis (disorder),Photoallergic eczema,Photodermatitis,Photodermatitis (disorder),photoallergic dermatitis"
Hughes-Stovin syndrome,Q609675, , ,, , , , , , , , , , , ,I28.8, , , ,https://en.wikipedia.org/wiki/Hughes%E2%80%93Stovin_syndrome,disease, 
torticollis,Q615363, , ,, , , , , , , , , , , , ,C0040485,D014103, ,https://en.wikipedia.org/wiki/Torticollis,"dystonic condition defined by an abnormal, asymmetrical head or neck position, which may be due to a variety of causes", 
calculus,Q617079, , ,, , ,calculus,Q149972, , , , , , , , ,"C0023869,C1269628",D002137, ,https://en.wikipedia.org/wiki/Calculus_(medicine),"concretion of material, usually mineral salts, that forms in an organ or duct of the body","calculi,stone,stones"
taijin kyofusho,Q621053, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Taijin_kyofusho,Japanese culture-bound syndrome,taijin kyōfushō
preterm birth,Q625506, , ,, , ,"abortion,preterm infant,stillbirth","Q45051448,Q745832,Q8452", , , , , , , , , ,D047928,C92861,https://en.wikipedia.org/wiki/Preterm_birth,birth at a gestational age less than 37 weeks,"pre-term birth,premature birth"
hip dysplasia,Q625935, , ,, , , , , , , , ,X-ray of hip dysplasia,Q56275800, , ,"C0019555,C1306065",D006618,"C116769,C119752",https://en.wikipedia.org/wiki/Hip_dysplasia,human disease,"Acetabular Dysplasia,Congen. disloc. hip,Congenital dislocation of hip,Congenital dislocation of hip NOS,Congenital dislocation of hip NOS (disorder),Congenital dysplasia of the hip,DEVELOPMENTAL DYSPLASIA OF THE HIP 1,DEVELOPMENTAL DYSPLASIA OF THE HIP 1, DDH1,Developmental dislocation of hip,Developmental dysplasia of the hip,Hip Dislocation, Congenital,Hip Dysplasia, Congenital,Hip Dysplasia, Developmental,congenital hip dislocation,obsolete congenital hip dislocation"
Eagle syndrome,Q628648,"neck pain,otalgia,shoulder pain","Q1596398,Q3567802,Q55105885",, , , , , , , , , , ,733.99, ,C1868714,C538010, ,https://en.wikipedia.org/wiki/Eagle_syndrome,human disease,"Eagle's syndrome,Elongated styloid process syndrome,Elongated styloid process which causes cervico facial pain tinnitus and otalgia,Styloid-stylohoid syndrome,eagle syndrome,elongated styloid process syndrome,stylohyoid syndrome,styloid-stylohyoid syndrome"
stimulant psychosis,Q629515, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Stimulant_psychosis,psychotic disorder that appears in some people who abuse stimulant drugs,"amphetamine psychosis,stimulant-induced psychotic disorder"
occupational disease,Q637816, , ,, , , , , , , , , , , , ,C0028797,D009784, ,https://en.wikipedia.org/wiki/Occupational_disease,"chronic ailment that occurs as a result of work or occupational activity, aspect of occupational safety and health","occupational diseases,occupational disorder,occupational illness"
argyria,Q648982,abnormal skin coloration,Q47085690,, , , , , , ,silver,Q1090, , , ,T56.8,C0003782,D001129, ,https://en.wikipedia.org/wiki/Argyria,medical condition,"Silver staining,argyrosis"
Argyll Robertson pupil,Q652568, , ,, , , , , , , , , , ,379.45,H57.01,C0155375, , ,https://en.wikipedia.org/wiki/Argyll_Robertson_pupil,symptom of human disease,"Argyll Robertson phenomenon or pupil, nonsyphilitic,Argyll Robertson pupil, atypical,Atypical Argyll-Robertson pupil,Atypical Argyll-Robertson pupil (disorder)"
flat feet problems,Q653200, , ,, , , , , , , , , , ,734, ,"C0016202,C0264133",D005413,C34616,https://en.wikipedia.org/wiki/Flat_feet,human foot arch that is very low,"Pes Valgus,fallen arch,fallen arches,flatfoot,pes planovalgus,pes planus"
mallet finger,Q653383,"bruise,pain","Q574491,Q81938",, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Mallet_finger,an extensor tendon injury at the farthest away finger joint,"baseball finger,extensor tendon injury at the DIP joint,hammer finger"
eosinophilic granuloma,Q655982, , ,"Birbeck Granules Present,CD1a-Positive Neoplastic Cells Present,Monoclonal Langerhans Cells Present,Polymorphic Cellular Infiltrate,S-100-Positive Neoplastic Cells Present,Unifocal Lesion,CD68-Positive Neoplastic Cells Present,Lytic Bone Lesion,Sinusoidal Infiltration", , , , , , , , , , ,277.89,C96.6,C0014461,D004803,C3016,https://en.wikipedia.org/wiki/Eosinophilic_granuloma,medical condition,"Chronic Unifocal Langerhans Cell Histiocytosis,Chronic and localized Langerhans cell histiocytosis,Eosinophilic Granuloma,Eosinophilic Xanthomatous Granuloma,Monostotic Langerhans Cell Histiocytosis,Unifocal Langerhans Cell Histiocytosis"
radiation burn,Q658873, , ,"Cutaneous Involvement,Radiation Toxicity", , , , , , ,irradiation,Q2737837, , , , ,"C0034561,C1504534",D011855,"C3349,C50722",https://en.wikipedia.org/wiki/Radiation_burn,damage to the skin or other biological tissue caused by exposure to radiation,"radiation-nduced dermatitis,radiodermatitis"
Neu-Laxova syndrome,Q667681, , ,, , , , , , , , , , , , ,C0265218,C536405, ,https://en.wikipedia.org/wiki/Neu%E2%80%93Laxova_syndrome,medical condition, 
nephrogenic systemic fibrosis,Q677803, , ,, , , , , , , , , , ,588.89, ,"C1619692,C3888044",D054989,C115158,https://en.wikipedia.org/wiki/Nephrogenic_systemic_fibrosis,medical condition,"NFD,NSF,nephrogenic fibrosing dermopathy"
fibromuscular dysplasia,Q688949, , ,, , , , , , , , , , , , ,C0016052,D005352,C84714,https://en.wikipedia.org/wiki/Fibromuscular_dysplasia,human arterial disease,"Fibromuscular hyperplasia of arteries NOS (disorder),Fibromuscular hyperplasia of artery,Fibromuscular hyperplasia of artery (disorder),Fibromuscular hyperplasia of artery [Ambiguous],obsolete fibromuscular dysplasia"
dysosmia,Q690210, , ,, , , , , , , , , , , , , , ,"C116370,C86949",https://en.wikipedia.org/wiki/Dysosmia,qualitative alteration or distortion of the perception of smell, 
Muselmann,Q691112, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Muselmann,term used among captives of World War II Nazi concentration camps,"hunger disease,marasmus malnutritionis"
subarachnoid hemorrhage,Q693442,"photophobia,vomiting","Q127076,Q281289",,"nimodipine,tranexamic acid","Q418666,Q421429", , , , ,aneurysm,Q189389,computed tomography,Q32566,430, ,C0038525,D013345,C50757,https://en.wikipedia.org/wiki/Subarachnoid_hemorrhage,bleeding into the subarachnoid space,"SAH,subarachnoid haematoma,subarachnoid haemorrhage,subarachnoid hematoma"
psychogenic pain,Q695954, , ,, , , , , , , , , , , , , , , ,https://en.wikipedia.org/wiki/Psychogenic_pain,Type of pain, 
panic attack,Q696490, , ,, , ,Panic Attack,Q48862213, , , , , , , , , , , ,https://en.wikipedia.org/wiki/Panic_attack,period of intense fear or apprehension of sudden onset, 
spinal disc herniation,Q697117, , ,, , , , , , , , , , , , ,"C0021818,C1832597",D007405, ,https://en.wikipedia.org/wiki/Spinal_disc_herniation,disease,"disc herniation,intervertebral disc displacement,intervertebral disk herniation,slipped disc"
arteriovenous fistula,Q707837, , ,, , , , , , , , , , , , ,"C0003855,C0332965",D001164,"C35377,C36192",https://en.wikipedia.org/wiki/Arteriovenous_fistula,"abnormal, epithelial-lined connection between an artery and vein that is present at the time of birth",congenital arteriovenous shunt
